date,transaction_reference,age,account,old_balance,new_balance,amount,type,message
2059-09-30,1000002337,85,excess,380771.29,381701.29,930.0,inflow,excess-CPF payout at age 85-930.00
2059-10-31,1000002339,85,oa,79979.47,80198.51,219.04,inflow,oa-Allocation for oa at age 85-219.04
2059-10-31,1000002340,85,ma,954878.18,957178.1,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2059-10-31,1000002341,85,ra,31676.36,31895.4,219.04,inflow,ra-Allocation for ra at age 85-219.04
2059-10-31,1000002342,85,ra,31895.4,30965.4,-930.0,outflow,ra-CPF payout at age 85--930.00
2059-10-31,1000002343,85,excess,381701.29,382631.29,930.0,inflow,excess-CPF payout at age 85-930.00
2059-11-30,1000002345,85,oa,80198.51,80417.55,219.04,inflow,oa-Allocation for oa at age 85-219.04
2059-11-30,1000002346,85,ma,957178.1,959478.02,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2059-11-30,1000002347,85,ra,30965.4,31184.44,219.04,inflow,ra-Allocation for ra at age 85-219.04
2059-11-30,1000002348,85,ra,31184.44,30254.44,-930.0,outflow,ra-CPF payout at age 85--930.00
2059-11-30,1000002349,85,excess,382631.29,383561.29,930.0,inflow,excess-CPF payout at age 85-930.00
2059-12-31,1000002351,85,oa,80417.55,80636.59,219.04,inflow,oa-Allocation for oa at age 85-219.04
2059-12-31,1000002352,85,ma,959478.02,961777.94,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2059-12-31,1000002353,85,ra,30254.44,30473.48,219.04,inflow,ra-Allocation for ra at age 85-219.04
2059-12-31,1000002354,85,oa,80636.59,80905.38,268.79,inflow,oa-Interest for ra at age 85-268.79
2059-12-31,1000002355,85,ma,961777.94,964983.87,3205.93,inflow,ma-Interest for ra at age 85-3205.93
2059-12-31,1000002356,85,ra,30473.48,30575.06,101.58,inflow,ra-Interest for ra at age 85-101.58
2059-12-31,1000002357,85,ra,30575.06,30625.06,50.0,inflow,ra-Extra Interest for ra at age 85-50.00
